Year,Period,Value
2023,FIRST OF JAN,28917900
2022,FIRST OF JAN,29983100
2022,FIRST OF JUL,30150000
2021,FIRST OF JAN,30843600
2021,FIRST OF JUL,31100000
2020,FIRST OF JAN,31338700
2020,FIRST OF JUL,32050000
2019,FIRST OF JAN,31690700
2019,FIRST OF JUL,32300000
2018,FIRST OF JAN,31466200
2018,FIRST OF JUL,32400000
2017,FIRST OF JAN,31170700
2017,FIRST OF JUL,32100000
2016,FIRST OF JAN,30163800
2015,FIRST OF JAN,29332100
2015,FIRST OF JUL,30400000
2014,FIRST OF JAN,28956400
2014,FIRST OF JUL,29750000
2013,FIRST OF JAN,29631300
2012,FIRST OF JAN,30281900
2012,FIRST OF JUL,30467000
2011,FIRST OF JAN,30912600
2011,FIRST OF JUL,31398000
2010,FIRST OF JAN,31439900
2010,FIRST OF JUL,31767000
2009,FIRST OF JAN,31793800
2009,FIRST OF JUL,32196000
2008,FIRST OF JAN,32434500
2008,FIRST OF JUL,32682000
2007,FIRST OF JAN,32644200
2007,FIRST OF JUL,33150000
2006,FIRST OF JAN,32702500
2006,FIRST OF JUL,33250000
2005,FIRST OF JAN,32674400
2005,FIRST OF JUL,33250000
2004,FIRST OF JAN,32531300
2004,FIRST OF JUL,33200000
2003,FIRST OF JAN,32983300
2003,FIRST OF JUL,33500000
2002,FIRST OF JAN,33133700
2002,FIRST OF JUL,33750000
2001,FIRST OF JAN,33398200
2001,FIRST OF JUL,33900000
2000,FIRST OF JAN,33575000
2000,FIRST OF JUL,33950000
1999,FIRST OF JAN,33750400
1999,FIRST OF JUL,34150000
1998,FIRST OF JAN,33885000
1998,FIRST OF JUL,34400000
1997,FIRST OF JAN,34457900
1997,FIRST OF JUL,34800000
1996,FIRST OF JAN,35318700
1996,FIRST OF JUL,35700000
1995,FIRST OF JAN,35190300
1995,FIRST OF JUL,36100000
1994,FIRST OF JAN,34602900
1994,FIRST OF JUL,35600000
1993,FIRST OF JAN,33364900
1993,FIRST OF JUL,34900000
1992,FIRST OF JAN,33006800
1992,FIRST OF JUL,33900000
1991,FIRST OF JAN,32519800
1991,FIRST OF JUL,33400000
1990,FIRST OF JAN,32454700
1990,FIRST OF JUL,32900000
1989,FIRST OF JAN,32487600
1989,FIRST OF JUL,33000000
1988,FIRST OF JAN,33182600
1988,FIRST OF JUL,34050000
1987,FIRST OF JAN,33945400
1987,FIRST OF JUL,34000000
1986,FIRST OF JAN,33753300
1986,FIRST OF JUL,34150000
1985,FIRST OF JAN,35405500
1985,FIRST OF JUL,35250000
1984,FIRST OF JAN,37483900
1984,FIRST OF JUL,37700000
1983,FIRST OF JAN,37939600
1983,FIRST OF JUL,38500000
1982,FIRST OF JAN,39229600
1982,FIRST OF JUL,38990000
1981,FIRST OF JAN,38773100
1981,FIRST OF JUL,40054000
1980,FIRST OF JAN,37107400
1980,FIRST OF JUL,39161000
1979,FIRST OF JAN,37061800
1979,FIRST OF JUL,37115000
1978,FIRST OF JAN,38738400
1978,FIRST OF JUL,37652000
1977,FIRST OF JAN,41443400
1977,FIRST OF JUL,41244000
1976,FIRST OF JAN,43900600
1976,FIRST OF JUL,42915000
1975,FIRST OF JAN,45711800
1975,FIRST OF JUL,46905000
1974,FIRST OF JAN,43181700
1974,FIRST OF JUL,45745000
1973,FIRST OF JAN,40931600
1973,FIRST OF JUL,42644000
1972,FIRST OF JAN,38809600
1972,FIRST OF JUL,40092000
1971,FIRST OF JAN,37877600
1971,FIRST OF JUL,38813000
1970,FIRST OF JAN,36689600
1969,FIRST OF JAN,36510500
1968,FIRST OF JAN,35565400
1967,FIRST OF JAN,34708300
1966,FIRST OF JAN,34442200
1965,FIRST OF JAN,34238000
1964,FIRST OF JAN,32793800
1963,FIRST OF JAN,30588600
1962,FIRST OF JAN,28691400
1961,FIRST OF JAN,27327400
1960,FIRST OF JAN,26344000
1959,FIRST OF JAN,25112000
1958,FIRST OF JAN,24165000
1957,FIRST OF JAN,24534000
1956,FIRST OF JAN,25371000
1955,FIRST OF JAN,25659000
1954,FIRST OF JAN,25050000
1953,FIRST OF JAN,23291000
1952,FIRST OF JAN,20863000
1951,FIRST OF JAN,18526000
1950,FIRST OF JAN,16743000
1949,FIRST OF JAN,15919000
1948,FIRST OF JAN,16010000
1947,FIRST OF JAN,16488000
1946,FIRST OF JAN,16408000
1945,FIRST OF JAN,16456000
1944,FIRST OF JAN,15521000
1943,FIRST OF JAN,13980000
1942,FIRST OF JAN,12578000
1941,FIRST OF JAN,11366000
1940,FIRST OF JAN,10676000
1939,FIRST OF JAN,9987000
1938,FIRST OF JAN,10132000
1937,FIRST OF JAN,10682000
1936,FIRST OF JAN,11048000
1935,FIRST OF JAN,11151000
1934,FIRST OF JAN,12678000
1933,FIRST OF JAN,11346000
1932,FIRST OF JAN,10439000
1931,FIRST OF JAN,9809000
1930,FIRST OF JAN,9162000
1929,FIRST OF JAN,8997000
1928,FIRST OF JAN,8926000
1927,FIRST OF JAN,9439000
1926,FIRST OF JAN,10294000
1925,FIRST OF JAN,11204000
1924,FIRST OF JAN,11926000
1923,FIRST OF JAN,11974000
1922,FIRST OF JAN,12182000
1921,FIRST OF JAN,12292000
1920,FIRST OF JAN,12525000
