year,MMTCO2e
1990,37.15446478
1991,38.8799333
1992,37.50864472
1993,39.22667636
1994,41.96667668
1995,43.2845708
1996,42.58891841
1997,44.66175722
1998,48.72238696
1999,49.28987461
2000,50.01274125
2001,52.21032273
2002,53.53659562
2003,54.37148142
2004,53.05438687
2005,56.33755308
2006,56.95200248
2007,62.01042767
2008,61.36353757
2009,60.35219813
2010,62.05174397
2011,62.97215591
2012,65.62633424
2013,63.26220817
2014,62.85400256
2015,66.26442788
2016,67.71369563
2017,67.73563423
2018,67.75757284
2019,67.77951145
2020,67.80145006
2021,67.73669227
2022,67.67193449
2023,67.60717671
